,Venue Weighted Rating,Venue Review Count,Venue Price,Venue Category,Venue Category 0,Venue Category 1,Venue Category 2,Venue Category 3,Neighborhood 0,Distance to Neighborhood 0,Neighborhood 1,Neighborhood 2,Neighborhood 3,Neighborhood 4,Neighborhood 5,Neighborhood 6,Neighborhood 7,Neighborhood 8
152,5.0,64,$,Bakery,bakeries,desserts,cupcakes,none,South Central,195,none,none,none,none,none,none,none,none
153,3.0,473,$$$,Department Store,deptstores,none,none,none,Century City,455,none,none,none,none,none,none,none,none
154,4.110370537731586,4426,$$,Breakfast Spot,cafes,breakfast_brunch,none,none,Tarzana,442,none,none,none,none,none,none,none,none
155,3.9405825242718446,2575,$$,Coffee Shop,coffee,none,none,none,Arts District,293,none,none,none,none,none,none,none,none
156,3.9405825242718446,2575,$$,Coffee Shop,coffee,none,none,none,Beverly Grove,20,none,none,none,none,none,none,none,none
157,3.9405825242718446,2575,$$,Coffee Shop,coffee,none,none,none,Gallery Row,487,Historic Core,Toy District,none,none,none,none,none,none
158,3.9405825242718446,2575,$$,Coffee Shop,coffee,none,none,none,Beverly Hills Post Office,486,none,none,none,none,none,none,none,none
159,3.9405825242718446,2575,$$,Coffee Shop,coffee,none,none,none,Los Feliz,284,none,none,none,none,none,none,none,none
160,4.0,1292,$$,Gastropub,newamerican,bars,none,none,Bunker Hill,358,none,none,none,none,none,none,none,none
161,2.0,41,$,Spa,massage,none,none,none,Lake Balboa,42,none,none,none,none,none,none,none,none
162,4.0,464,$$,Cocktail Bar,divebars,lounges,danceclubs,none,Whitley Heights,488,none,none,none,none,none,none,none,none
163,3.5,53,$,Burger Joint,burgers,tacos,breakfast_brunch,none,Harbor City,375,none,none,none,none,none,none,none,none
164,4.5,26,$,Convenience Store,convenience,none,none,none,Angelino Heights,381,none,none,none,none,none,none,none,none
165,4.0,609,$,Bubble Tea Shop,bubbletea,coffee,none,none,Northridge,240,none,none,none,none,none,none,none,none
166,3.0,502,$,Café,coffee,icecream,shavedice,none,Westdale,407,none,none,none,none,none,none,none,none
167,4.5,109,$$,Snack Place,juicebars,vitaminssupplements,healthmarkets,none,Hollywood,458,none,none,none,none,none,none,none,none
168,3.7806691449814127,269,$$,Juice Bar,healthmarkets,cosmetics,juicebars,none,Hollywood,147,none,none,none,none,none,none,none,none
169,3.957983193277311,476,$,Burger Joint,burgers,none,none,none,Woodland Hills,414,none,none,none,none,none,none,none,none
170,4.5,480,$$,Middle Eastern Restaurant,lebanese,mediterranean,none,none,Sunset Junction,264,none,none,none,none,none,none,none,none
171,2.5,460,$$,Clothing Store,womenscloth,jewelry,accessories,none,Westwood Village,424,none,none,none,none,none,none,none,none
172,3.0,582,$$,Speakeasy,danceclubs,karaoke,speakeasies,none,Koreatown,401,none,none,none,none,none,none,none,none
173,3.5,340,$$,Coffee Shop,coffee,none,none,none,Los Feliz,386,none,none,none,none,none,none,none,none
174,3.2209302325581395,86,$$,Men's Store,menscloth,none,none,none,Venice,207,none,none,none,none,none,none,none,none
175,3.0,322,$$,Thrift / Vintage Store,vintage,womenscloth,thrift_stores,none,Sherman Oaks,268,none,none,none,none,none,none,none,none
176,4.099236641221374,131,$$,Toy / Game Store,toys,kids_activities,none,none,Whitley Heights,459,none,none,none,none,none,none,none,none
177,4.5,2428,$$,Korean Restaurant,korean,bbq,asianfusion,none,Koreatown,207,none,none,none,none,none,none,none,none
178,4.029236868186323,1009,$,Ice Cream Shop,icecream,none,none,none,Koreatown,433,none,none,none,none,none,none,none,none
179,4.5,53,$,Gift Shop,homedecor,giftshops,none,none,Little Tokyo,245,none,none,none,none,none,none,none,none
180,4.0,339,$$,Italian Restaurant,italian,none,none,none,Mission Hills,329,none,none,none,none,none,none,none,none
181,2.154255319148936,376,$,Fast Food Restaurant,hotdogs,burgers,none,none,Valley Glen,498,none,none,none,none,none,none,none,none
182,2.154255319148936,376,$,Fast Food Restaurant,hotdogs,burgers,none,none,Watts,341,none,none,none,none,none,none,none,none
183,2.154255319148936,376,$,Fast Food Restaurant,hotdogs,burgers,none,none,Central City,289,none,none,none,none,none,none,none,none
184,4.0,294,$$,Dive Bar,divebars,cocktailbars,none,none,Hollywood,269,none,none,none,none,none,none,none,none
185,4.0,48,$$,Boutique,stationery,homedecor,giftshops,none,Venice,465,none,none,none,none,none,none,none,none
186,4.5,459,$$,Café,sandwiches,coffee,breakfast_brunch,none,Palms,149,none,none,none,none,none,none,none,none
187,4.152213188798554,1107,$$,Mediterranean Restaurant,mediterranean,salad,none,none,Westwood Village,263,none,none,none,none,none,none,none,none
188,4.152213188798554,1107,$$,Mediterranean Restaurant,mediterranean,salad,none,none,North University Park,293,University Park,University Park,none,none,none,none,none,none
189,3.8616625310173696,806,$$,Diner,soulfood,breakfast_brunch,mexican,none,Village Green,428,none,none,none,none,none,none,none,none
190,2.2104294478527606,4075,$$,Pharmacy,drugstores,pharmacy,convenience,none,Woodland Hills,171,none,none,none,none,none,none,none,none
191,2.2104294478527606,4075,$$,Pharmacy,drugstores,pharmacy,convenience,none,Crenshaw,493,none,none,none,none,none,none,none,none
192,2.2104294478527606,4075,$$,Pharmacy,drugstores,pharmacy,convenience,none,Brentwood,293,Brentwood Circle,none,none,none,none,none,none,none
193,2.2104294478527606,4075,$$,Pharmacy,drugstores,pharmacy,convenience,none,Pacific Palisades,201,none,none,none,none,none,none,none,none
194,2.2104294478527606,4075,$$,Pharmacy,drugstores,pharmacy,convenience,none,Tarzana,173,none,none,none,none,none,none,none,none
195,2.2104294478527606,4075,$$,Pharmacy,drugstores,pharmacy,convenience,none,Hermon,422,none,none,none,none,none,none,none,none
196,2.2104294478527606,4075,$$,Pharmacy,drugstores,pharmacy,convenience,none,Westwood Village,287,none,none,none,none,none,none,none,none
197,2.2104294478527606,4075,$$,Pharmacy,drugstores,pharmacy,convenience,none,Westchester,358,none,none,none,none,none,none,none,none
198,2.2104294478527606,4075,$$,Pharmacy,drugstores,pharmacy,convenience,none,San Pedro,165,none,none,none,none,none,none,none,none
199,2.2104294478527606,4075,$$,Pharmacy,drugstores,pharmacy,convenience,none,Village Green,497,none,none,none,none,none,none,none,none
200,2.2104294478527606,4075,$$,Pharmacy,drugstores,pharmacy,convenience,none,Sherman Oaks,494,none,none,none,none,none,none,none,none
201,2.2104294478527606,4075,$$,Pharmacy,drugstores,pharmacy,convenience,none,Little Tokyo,418,none,none,none,none,none,none,none,none
202,2.2104294478527606,4075,$$,Pharmacy,drugstores,pharmacy,convenience,none,Eagle Rock,401,none,none,none,none,none,none,none,none
203,2.2104294478527606,4075,$$,Pharmacy,drugstores,pharmacy,convenience,none,Watts,471,none,none,none,none,none,none,none,none
204,2.2104294478527606,4075,$$,Pharmacy,drugstores,pharmacy,convenience,none,Playa Vista,214,none,none,none,none,none,none,none,none
205,2.2104294478527606,4075,$$,Pharmacy,drugstores,pharmacy,convenience,none,Financial District,122,Jewelry District,none,none,none,none,none,none,none
206,2.6883169934640523,1224,$$,Bar,mexican,sportsbars,breakfast_brunch,none,Whitley Heights,410,none,none,none,none,none,none,none,none
207,4.5,202,$,Café,coffee,breakfast_brunch,bakeries,none,Arlington Heights,484,none,none,none,none,none,none,none,none
208,3.0,192,$$,Karaoke Bar,asianfusion,coffee,desserts,none,Koreatown,462,none,none,none,none,none,none,none,none
209,4.0,995,$$,Bakery,coffee,sandwiches,breakfast_brunch,none,Los Feliz,357,none,none,none,none,none,none,none,none
210,3.5,409,$$,Café,korean,bars,none,none,Koreatown,228,none,none,none,none,none,none,none,none
211,4.5,648,$$,Café,breakfast_brunch,cafes,sandwiches,none,Pacific Palisades,87,none,none,none,none,none,none,none,none
212,4.0,1265,$$,Café,italian,bakeries,pizza,none,Koreatown,165,none,none,none,none,none,none,none,none
213,4.090736040609137,788,$$,Coffee Shop,coffee,none,none,none,Pacific Palisades,274,none,none,none,none,none,none,none,none
214,4.5,85,$$,Italian Restaurant,italian,juicebars,cafes,none,Century City,438,none,none,none,none,none,none,none,none
215,4.0,149,$$$,Italian Restaurant,italian,none,none,none,Rustic Canyon,157,none,none,none,none,none,none,none,none
